fips,countyname,state,type,typename,death,obesity,uninsured,childpoverty,longcomute,overdose,income,nhwhite
1001,Autauga County,AL,1,Exurbs,9409.294766,0.364,0.093877119,0.193,0.408,5,54487,0.75
1051,Elmore County,AL,1,Exurbs,8817.977538,0.365,0.093176623,0.202,0.463,4,54553,0.734116554
1083,Limestone County,AL,1,Exurbs,7437.426097,0.336,0.120907464,0.178,0.384,5,52181,0.769462982
1115,St. Clair County,AL,1,Exurbs,9818.209625,0.363,0.115163121,0.171,0.521,9,57856,0.859132687
1117,Shelby County,AL,1,Exurbs,6226.679325,0.292,0.083852901,0.099,0.458,7,74212,0.783735792
5007,Benton County,AR,1,Exurbs,6236.763804,0.308,0.113544599,0.119,0.207,7,64072,0.740416817
5085,Lonoke County,AR,1,Exurbs,9542.426518,0.381,0.08254861,0.171,0.472,6,56247,0.862172565
5125,Saline County,AR,1,Exurbs,8147.306859,0.328,0.082119343,0.13,0.432,8,63618,0.854460292
6017,El Dorado County,CA,1,Exurbs,5119.923696,0.187,0.062166582,0.1,0.395,11,75100,0.781484175
6057,Nevada County,CA,1,Exurbs,5913.612569,0.211,0.080970788,0.137,0.28,10,60501,0.853632942
6061,Placer County,CA,1,Exurbs,4740.856104,0.207,0.053878546,0.076,0.385,7,85326,0.733338414
6115,Yuba County,CA,1,Exurbs,8548.257584,0.28,0.093749031,0.238,0.414,5,46054,0.557741614
8001,Adams County,CO,1,Exurbs,6359.465523,0.271,0.126002435,0.151,0.448,,65442,0.508074277
8035,Douglas County,CO,1,Exurbs,3308.879876,0.175,0.035316446,0.029,0.418,5,112399,0.832441759
8039,Elbert County,CO,1,Exurbs,5839.911927,0.213,0.076189573,0.087,0.722,7,86693,0.890888193
8045,Garfield County,CO,1,Exurbs,5164.643914,0.195,0.159896079,0.128,0.404,6,69161,0.685872943
8059,Jefferson County,CO,1,Exurbs,5160.067205,0.183,0.070048533,0.077,0.418,,74342,0.78638668
8077,Mesa County,CO,1,Exurbs,6764.542074,0.223,0.10763598,0.178,0.159,9,49825,0.816548177
8123,Weld County,CO,1,Exurbs,5873.727725,0.264,0.084425366,0.128,0.387,,63609,0.663061316
9005,Litchfield County,CT,1,Exurbs,5768.241245,0.25,0.056494545,0.088,0.388,10,76323,0.892562346
9007,Middlesex County,CT,1,Exurbs,5080.905441,0.241,0.044942276,0.087,0.386,9,80190,0.841908051
12019,Clay County,FL,1,Exurbs,6889.758053,0.291,0.119193119,0.135,0.564,11,57476,0.738357552
12089,Nassau County,FL,1,Exurbs,7434.233667,0.289,0.120605611,0.144,0.496,12,67967,0.872764258
12109,St. Johns County,FL,1,Exurbs,5500.032025,0.224,0.100796438,0.085,0.438,6,78544,0.83424009
12113,Santa Rosa County,FL,1,Exurbs,6861.403279,0.26,0.11679202,0.149,0.447,10,62668,0.82675355
12129,Wakulla County,FL,1,Exurbs,7451.688822,0.357,0.111428212,0.18,0.618,8,56158,0.792525006
13013,Barrow County,GA,1,Exurbs,7747.853114,0.346,0.170942864,0.181,0.534,9,54893,0.726577289
13015,Bartow County,GA,1,Exurbs,8469.264942,0.342,0.161918414,0.221,0.425,9,52497,0.780795129
13047,Catoosa County,GA,1,Exurbs,7455.022883,0.307,0.133806524,0.189,0.316,10,53740,0.911277448
13057,Cherokee County,GA,1,Exurbs,5344.976804,0.275,0.137522428,0.102,0.558,7,78668,0.798141413
13077,Coweta County,GA,1,Exurbs,6329.375068,0.271,0.125805969,0.141,0.465,6,71114,0.716266029
13085,Dawson County,GA,1,Exurbs,8607.957455,0.283,0.167844429,0.164,0.572,8,61229,0.928613794
13097,Douglas County,GA,1,Exurbs,7191.906805,0.32,0.152427333,0.201,0.527,6,59665,0.420533806
13103,Effingham County,GA,1,Exurbs,8229.94669,0.364,0.125403521,0.149,0.562,5,63776,0.790434664
13113,Fayette County,GA,1,Exurbs,5405.864646,0.328,0.109894548,0.086,0.495,6,83145,0.635007659
13117,Forsyth County,GA,1,Exurbs,4185.269342,0.295,0.105428003,0.066,0.502,6,101804,0.737499378
13145,Harris County,GA,1,Exurbs,6011.583388,0.304,0.103581409,0.131,0.411,5,70724,0.772584096
13151,Henry County,GA,1,Exurbs,6908.218469,0.328,0.128135446,0.147,0.543,7,67150,0.454326143
13157,Jackson County,GA,1,Exurbs,7644.236937,0.268,0.157931594,0.17,0.5,11,55426,0.821728701
13177,Lee County,GA,1,Exurbs,7100.971524,0.33,0.121626456,0.169,0.173,5,62972,0.724852575
13187,Lumpkin County,GA,1,Exurbs,7357.806296,0.313,0.189765727,0.215,0.424,8,47287,0.908347909
13217,Newton County,GA,1,Exurbs,8473.768635,0.318,0.150623075,0.279,0.464,6,51167,0.476172675
13219,Oconee County,GA,1,Exurbs,5239.610292,0.29,0.113544464,0.084,0.244,6,88570,0.847765894
13223,Paulding County,GA,1,Exurbs,6304.026133,0.29,0.126236993,0.125,0.606,8,65480,0.722181935
13227,Pickens County,GA,1,Exurbs,8030.444008,0.28,0.16367525,0.2,0.452,9,57637,0.934321484
13231,Pike County,GA,1,Exurbs,8886.936182,0.276,0.155100418,0.158,0.527,5,56901,0.868903629
13247,Rockdale County,GA,1,Exurbs,8005.685967,0.385,0.16106153,0.238,0.457,7,56689,0.332583515
13297,Walton County,GA,1,Exurbs,8034.633627,0.32,0.140374919,0.189,0.516,7,55267,0.755034152
16001,Ada County,ID,1,Exurbs,4919.320387,0.256,0.094602696,0.113,0.202,8,61571,0.85055447
16027,Canyon County,ID,1,Exurbs,6493.625692,0.344,0.157243415,0.182,0.36,5,48461,0.707573997
16045,Gem County,ID,1,Exurbs,8340.80054,0.303,0.148059563,0.233,0.464,9,42027,0.876862197
16055,Kootenai County,ID,1,Exurbs,5893.044602,0.262,0.116240873,0.192,0.252,7,52019,0.908431674
16075,Payette County,ID,1,Exurbs,6522.777049,0.337,0.151220034,0.208,0.163,9,46595,0.782289586
16083,Twin Falls County,ID,1,Exurbs,6700.744636,0.307,0.149741849,0.181,0.143,7,49415,0.798752305
17007,Boone County,IL,1,Exurbs,5031.572226,0.324,0.078978466,0.132,0.366,5,62081,0.738089453
17063,Grundy County,IL,1,Exurbs,6144.703125,0.319,0.049037298,0.096,0.426,9,71969,0.869104031
17089,Kane County,IL,1,Exurbs,4581.22621,0.255,0.100456819,0.147,0.432,5,73684,0.574358444
