letter,frequency
1001,0.364
1003,0.293
1005,0.442
1007,0.384
1009,0.358
1011,0.402
1013,0.36
1015,0.361
1017,0.38
1019,0.355
1021,0.36
1023,0.395
1025,0.384
1027,0.381
1029,0.346
1031,0.342
1033,0.346
1035,0.382
1037,0.401
1039,0.338
1041,0.396
1043,0.346
1045,0.365
1047,0.424
1049,0.305
1051,0.365
1053,0.386
1055,0.368
1057,0.356
1059,0.332
1061,0.366
1063,0.423
1065,0.414
1067,0.378
1069,0.333
1071,0.369
1073,0.332
1075,0.338
1077,0.348
1079,0.336
1081,0.298
1083,0.336
1085,0.462
1087,0.478
1089,0.328
1091,0.394
1093,0.349
1095,0.337
1097,0.358
1099,0.392
1101,0.368
1103,0.315
1105,0.441
1107,0.354
1109,0.417
1111,0.339
1113,0.407
1115,0.363
1117,0.292
1119,0.403
1121,0.406
1123,0.367
1125,0.334
1127,0.362
1129,0.403
1131,0.426
1133,0.347
2013,0.349
2016,0.407
2020,0.278
2050,0.294
2060,0.391
2068,0.264
2070,0.405
2090,0.289
2100,0.248
2105,0.321
2110,0.288
2122,0.286
2130,0.345
2150,0.296
2158,0.275
2164,0.318
2170,0.311
2180,0.335
2185,0.369
2188,0.357
2195,0.312
2198,0.344
2220,0.284
2230,0.287
2240,0.326
2261,0.309
2275,0.334
2282,0.312
2290,0.303
4001,0.337
4003,0.266
4005,0.228
4007,0.275
4009,0.319
4011,0.295
4012,0.281
4013,0.263
4015,0.304
4017,0.314
4019,0.249
4021,0.326
4023,0.237
4025,0.233
4027,0.31
5001,0.319
5003,0.421
5005,0.341
5007,0.308
5009,0.378
5011,0.417
5013,0.365
5015,0.34
5017,0.434
5019,0.342
5021,0.352
5023,0.337
5025,0.352
5027,0.342
5029,0.379
5031,0.356
5033,0.339
5035,0.404
5037,0.394
5039,0.386
5041,0.39
5043,0.368
5045,0.331
5047,0.326
5049,0.309
5051,0.305
5053,0.392
5055,0.333
5057,0.382
5059,0.353
5061,0.349
5063,0.364
5065,0.337
5067,0.344
5069,0.42
5071,0.376
5073,0.382
5075,0.324
5077,0.391
5079,0.365
5081,0.376
5083,0.391
5085,0.381
5087,0.347
5089,0.331
5091,0.337
5093,0.415
5095,0.359
5097,0.357
5099,0.356
5101,0.318
5103,0.363
5105,0.365
5107,0.436
5109,0.365
5111,0.399
5113,0.338
5115,0.323
5117,0.371
5119,0.323
5121,0.352
5123,0.445
5125,0.328
5127,0.335
5129,0.363
5131,0.348
5133,0.368
5135,0.371
5137,0.346
5139,0.386
5141,0.34
5143,0.299
5145,0.38
5147,0.364
5149,0.365
6001,0.189
6003,0.228
6005,0.253
6007,0.254
6009,0.258
6011,0.268
6013,0.242
6015,0.245
6017,0.187
6019,0.268
6021,0.27
6023,0.275
6025,0.281
6027,0.239
6029,0.316
6031,0.259
6033,0.263
6035,0.257
6037,0.216
6039,0.263
6041,0.181
6043,0.248
6045,0.249
6047,0.263
6049,0.23
6051,0.228
6053,0.246
6055,0.232
6057,0.211
6059,0.192
6061,0.207
6063,0.233
6065,0.258
6067,0.276
6069,0.228
6071,0.273
6073,0.201
6075,0.181
6077,0.28
6079,0.229
6081,0.187
6083,0.205
6085,0.197
6087,0.182
6089,0.24
6091,0.224
6093,0.238
6095,0.295
6097,0.203
6099,0.301
6101,0.297
6103,0.267
6105,0.243
6107,0.334
6109,0.221
6111,0.207
6113,0.229
6115,0.28
8001,0.271
8003,0.209
8005,0.218
8007,0.18
8009,0.212
8011,0.248
8013,0.138
8014,0.19
8015,0.189
8017,0.242
8019,0.189
8021,0.235
8023,0.221
8025,0.225
8027,0.221
8029,0.231
8031,0.166
8033,0.195
8035,0.175
8037,0.128
8039,0.213
8041,0.225
8043,0.235
8045,0.195
8047,0.212
8049,0.169
8051,0.153
8053,0.199
8055,0.221
8057,0.215
8059,0.183
8061,0.209
8063,0.274
8065,0.193
8067,0.168
8069,0.178
8071,0.232
8073,0.237
8075,0.289
8077,0.223
8079,0.189
8081,0.251
8083,0.223
8085,0.2
8087,0.275
8089,0.278
8091,0.184
8093,0.193
8095,0.25
8097,0.154
8099,0.272
8101,0.271
8103,0.238
8105,0.227
8107,0.136
8109,0.216
8111,0.203
8113,0.183
8115,0.214
8117,0.149
8119,0.216
8121,0.233
8123,0.264
8125,0.257
9001,0.214
9003,0.263
9005,0.25
9007,0.241
9009,0.27
9011,0.287
9013,0.239
9015,0.292
10001,0.336
10003,0.292
10005,0.316
11001,0.228
12001,0.258
12003,0.344
12005,0.301
12007,0.356
12009,0.269
12011,0.246
12013,0.389
12015,0.261
12017,0.271
12019,0.291
12021,0.203
12023,0.359
12027,0.368
12029,0.304
12031,0.305
12033,0.29
12035,0.241
12037,0.331
12039,0.357
12041,0.316
12043,0.331
12045,0.314
12047,0.336
12049,0.347
12051,0.347
12053,0.31
12055,0.311
12057,0.273
12059,0.314
12061,0.249
12063,0.346
12065,0.324
12067,0.352
12069,0.281
12071,0.245
12073,0.273
12075,0.33
12077,0.396
12079,0.335
12081,0.265
12083,0.301
12085,0.2
12086,0.212
12087,0.228
12089,0.289
12091,0.255
12093,0.292
12095,0.24
12097,0.286
12099,0.222
12101,0.321
12103,0.256
12105,0.344
12107,0.379
12109,0.224
12111,0.271
12113,0.26
12115,0.207
12117,0.256
12119,0.269
12121,0.329
12123,0.373
12125,0.379
12127,0.257
12129,0.357
12131,0.281
12133,0.374
13001,0.351
13003,0.339
13005,0.315
13007,0.304
13009,0.369
13011,0.299
13013,0.346
13015,0.342
13017,0.352
13019,0.328
13021,0.347
13023,0.336
13025,0.325
13027,0.325
13029,0.298
13031,0.334
13033,0.33
13035,0.302
13037,0.331
13039,0.333
13043,0.329
13045,0.329
13047,0.307
13049,0.328
13051,0.327
13053,0.282
13055,0.349
13057,0.275
13059,0.256
13061,0.307
13063,0.364
13065,0.306
13067,0.251
13069,0.347
13071,0.349
13073,0.312
13075,0.322
13077,0.271
13079,0.285
13081,0.33
13083,0.351
13085,0.283
13087,0.293
13089,0.272
13091,0.298
13093,0.361
13095,0.355
13097,0.32
13099,0.323
13101,0.288
13103,0.364
13105,0.32
13107,0.344
13109,0.339
13111,0.268
13113,0.328
13115,0.327
13117,0.295
13119,0.309
13121,0.258
13123,0.305
13125,0.285
13127,0.288
13129,0.284
13131,0.339
13133,0.308
13135,0.279
13137,0.308
13139,0.289
13141,0.307
13143,0.296
13145,0.304
13147,0.307
13149,0.304
13151,0.328
13153,0.33
13155,0.31
13157,0.268
13159,0.299
13161,0.307
13163,0.347
13165,0.31
13167,0.337
13169,0.321
13171,0.3
13173,0.329
13175,0.38
13177,0.33
13179,0.359
13181,0.298
13183,0.338
13185,0.342
13187,0.313
13189,0.327
13191,0.323
13193,0.371
13195,0.347
13197,0.319
13199,0.348
13201,0.289
13205,0.335
13207,0.303
13209,0.347
13211,0.289
13213,0.335
13215,0.304
13217,0.318
13219,0.29
13221,0.304
13223,0.29
13225,0.338
13227,0.28
13229,0.308
13231,0.276
13233,0.351
13235,0.33
13237,0.309
13239,0.331
13241,0.29
13243,0.333
13245,0.341
13247,0.385
13249,0.303
13251,0.339
13253,0.308
13255,0.319
13257,0.307
13259,0.345
13261,0.325
13263,0.343
13265,0.321
13267,0.337
13269,0.296
13271,0.316
13273,0.327
13275,0.347
13277,0.325
13279,0.344
13281,0.283
13283,0.33
13285,0.299
13287,0.321
13289,0.334
13291,0.292
13293,0.342
