fips,type,typename,death,overdose,income,nhwhite,obesity,childpoverty,uninsured,longcommute
Average,1,Exurbs,6300,16,65500,81, 29.5 , 13.1 ,10, 44.7 
Average,2,Graying America,7700,,46200,83, 28.6 , 22.9 ,12, 26.3 
Average,3,African American South,10200,,37500,55, 35.0 , 34.0 ,15, 34.5 
Average,4,Evangelical Hubs,9900,21,41800,84, 33.8 , 25.9 ,14, 31.8 
Average,5,Working Class Country,9000,,42300,94, 32.8 , 25.3 ,10, 35.2 
Average,6,Military Posts,7400,16,52000,66, 31.7 , 19.2 ,12, 25.3 
Average,7,Urban Suburbs,5700,15,67800,58, 25.9 , 15.1 ,8, 38.6 
Average,8,Hispanic Centers ,7600,,46800,41, 29.7 , 25.1 ,19, 21.2 
Average,9,Native American Lands,13700,,40100,30, 34.9 , 32.7 ,20, 17.9 
Average,10,Rural Middle America,6800,,51900,93, 32.2 , 16.3 ,8, 27.0 
Average,11,College Towns,6100,14,51200,82, 28.9 , 16.8 ,9, 19.8 
Average,12,LDS Enclaves,6800,21,54800,87, 27.7 , 14.2 ,13, 20.9 
Average,13,Aging Farmlands,7200,,47900,94, 31.9 , 16.8 ,12, 21.7 
Average,14,Big Cities,6600,16,58700,48, 27.2 , 22.2 ,11, 35.3 
Average,15,Middle Suburbs,7300,26,54600,85, 31.7 , 18.8 ,7, 30.3 
