fips,countyname,state,type,typename,death,overdose,income,nhwhite,obesity,childpoverty,uninsured,longcommute
9015,Windham County,CT,15,Middle Suburbs,6.36568257,10,60.869,83.1,29.2,15.2,6,39.2
17119,Madison County,IL,15,Middle Suburbs,7.80400306,10,56.297,85.3,33.5,18,5.6,37.4
17143,Peoria County,IL,15,Middle Suburbs,7.326314519,8,52.38,70.3,29.5,21,5.8,14.5
17161,Rock Island County,IL,15,Middle Suburbs,6.334962979,5,50.952,72.5,31,25.1,6.4,15
17201,Winnebago County,IL,15,Middle Suburbs,8.356359943,12,50.296,69.8,34.2,23.4,7.2,21.4
18019,Clark County,IN,15,Middle Suburbs,9.139916358,10,51.837,83.7,34.4,15.7,10.7,34.6
18043,Floyd County,IN,15,Middle Suburbs,7.11236477,8,58.703,88.1,29.8,14.7,8.8,30.3
18067,Howard County,IN,15,Middle Suburbs,9.160613038,13,49.204,85.6,31.2,21.3,9.7,18.6
18089,Lake County,IN,15,Middle Suburbs,9.015060769,5,53.6,54.4,33.3,25.7,11.6,39.5
18095,Madison County,IN,15,Middle Suburbs,8.829562733,15,45.853,85.1,35.7,24.7,10.6,38.9
18127,Porter County,IN,15,Middle Suburbs,6.714125396,8,67.302,83.7,31.3,9.9,8.7,40.5
18141,St. Joseph County,IN,15,Middle Suburbs,7.923118067,6,48.96,73.3,31.2,22.4,11.5,22.5
18163,Vanderburgh County,IN,15,Middle Suburbs,8.387852409,12,46.75,84,33.5,22.8,9.8,17.6
18167,Vigo County,IN,15,Middle Suburbs,8.987530408,8,43.56,85.8,31.7,22.4,11.1,16.8
19013,Black Hawk County,IA,15,Middle Suburbs,6.49414843,4,50.887,82,30.6,18.4,6.4,8.3
19113,Linn County,IA,15,Middle Suburbs,5.724566238,5,64.625,86.8,33.3,12.6,4.6,15.1
19163,Scott County,IA,15,Middle Suburbs,6.171117522,7,56.208,80.5,32.7,18.7,5,15.5
21037,Campbell County,KY,15,Middle Suburbs,7.459230099,15,61.49,92.4,30.7,16.7,5.7,30.7
21117,Kenton County,KY,15,Middle Suburbs,9.350114151,15,61.798,88.7,29.9,18.2,6.2,27.9
22051,Jefferson Parish,LA,15,Middle Suburbs,8.410467689,15,49.681,53.2,35.7,26.3,15.5,31.1
23001,Androscoggin County,ME,15,Middle Suburbs,7.253849663,7,48.494,91.1,33.9,19.5,9.3,32.4
24043,Washington County,MD,15,Middle Suburbs,8.144700707,9,54.643,79.8,34.1,17.6,6.9,38.3
26049,Genesee County,MI,15,Middle Suburbs,9.609577913,10,44.174,72.6,31.2,29.1,6.8,30
26075,Jackson County,MI,15,Middle Suburbs,7.366256341,5,50.809,84.9,34.4,20.4,6.2,28.4
26093,Livingston County,MI,15,Middle Suburbs,5.627883061,7,79.388,94.6,28.2,6.4,4.7,53.9
26099,Macomb County,MI,15,Middle Suburbs,7.251726941,12,60.175,79.7,32.5,15.9,7.2,43.4
26115,Monroe County,MI,15,Middle Suburbs,7.736038187,10,61.962,91.7,32.5,12.9,5.9,35.2
26145,Saginaw County,MI,15,Middle Suburbs,8.069378461,8,45.739,69.6,39.8,24.6,6.9,24.3
29021,Buchanan County,MO,15,Middle Suburbs,8.812017003,6,47.517,83.7,31.8,23.5,11.6,11.7
34029,Ocean County,NJ,15,Middle Suburbs,6.397641193,9,62.276,84.7,28.7,18.4,8.8,42.8
36007,Broome County,NY,15,Middle Suburbs,7.046655648,5,49.927,83.6,26.7,24.4,6.4,14.5
36015,Chemung County,NY,15,Middle Suburbs,6.712154566,5,50.722,86.4,33.3,22.7,5.1,19.3
