bin,r1971,r1980,r1990,r2000,r2010,r2013,d1971,d1980,d1990,d2000,d2010,d2013
0-10,0.068,0.024,0.122,0.451,0.45,0.88,0.126,0.022,0.004,0.01,0,0
10-20,0.091,0.2,0.177,0.237,0.256,0.09,0.118,0.075,0.012,0.01,0,0.005
20-30,0.341,0.164,0.144,0.134,0.111,0.026,0.134,0.097,0.048,0.024,0,0.015
30-40,0.097,0.309,0.155,0.036,0.061,0,0.055,0.198,0.056,0.038,0,0.015
40-50,0.17,0.127,0,0.031,0.061,0.004,0.094,0.112,0,0.033,0.004,0.01
50-60,0.085,0.091,0.122,0.022,0.022,0,0.091,0.067,0.131,0.086,0.02,0.015
60-70,0.068,0.024,0.099,0.018,0.006,0,0.154,0.123,0.171,0.053,0.067,0.03
70-80,0.028,0.048,0.088,0.049,0.022,0,0.059,0.175,0.246,0.191,0.083,0.075
80-90,0.034,0.012,0.05,0.018,0.011,0,0.126,0.075,0.254,0.177,0.102,0.28
90-100,0.017,0,0.044,0.004,0,0,0.043,0.056,0.079,0.378,0.724,0.555
